"Year","Variable","Value","Type"
2008,"Ind_Oil_and_oil_products",427096,"Actual"
2008,"RT_Oil_products",316070,"Actual"
2008,"RT_Natural_gas",755,"Actual"
2008,"RT_Biofuels_and_waste",432517,"Actual"
2008,"RT_Electricity",171424,"Actual"
2008,"Kom_Oil_products",43412,"Actual"
2008,"Kom_Natural_gas",2056,"Actual"
2008,"Kom_Biofuels_and_waste",8534,"Actual"
2008,"Kom_Electricity",110937,"Actual"
2009,"Ind_Coal_and_coal_products",435252,"Actual"
2009,"Ind_Natural_gas",476522,"Actual"
2009,"Ind_Biofuels_and_waste",272372,"Actual"
2009,"Ind_Electricity",168152,"Actual"
2009,"Ind_Oil_and_oil_products",423466,"Actual"
2009,"RT_Oil_products",271973,"Actual"
2009,"RT_Natural_gas",748,"Actual"
2009,"RT_Biofuels_and_waste",400156,"Actual"
2009,"RT_Electricity",191340,"Actual"
2009,"Kom_Oil_products",39935,"Actual"
2009,"Kom_Natural_gas",4205,"Actual"
2009,"Kom_Biofuels_and_waste",8491,"Actual"
2009,"Kom_Electricity",121672,"Actual"
2010,"Ind_Coal_and_coal_products",247461,"Actual"
2010,"Ind_Natural_gas",493895,"Actual"
2010,"Ind_Biofuels_and_waste",265007,"Actual"
2010,"Ind_Electricity",209720,"Actual"
2010,"Ind_Oil_and_oil_products",393998,"Actual"
2010,"RT_Oil_products",255301,"Actual"
2010,"RT_Natural_gas",777,"Actual"
2010,"RT_Biofuels_and_waste",396645,"Actual"
2010,"RT_Electricity",206884,"Actual"
2010,"Kom_Oil_products",33182,"Actual"
2010,"Kom_Natural_gas",5547,"Actual"
2010,"Kom_Biofuels_and_waste",8449,"Actual"
2010,"Kom_Electricity",131353,"Actual"
2011,"Ind_Coal_and_coal_products",257430,"Actual"
2011,"Ind_Natural_gas",533508,"Actual"
2011,"Ind_Biofuels_and_waste",267497,"Actual"
2011,"Ind_Electricity",223186,"Actual"
2011,"Ind_Oil_and_oil_products",447595,"Actual"
2011,"RT_Oil_products",256499,"Actual"
2011,"RT_Natural_gas",657,"Actual"
2011,"RT_Biofuels_and_waste",378911,"Actual"
2011,"RT_Electricity",225748,"Actual"
2011,"Kom_Oil_products",39398,"Actual"
2011,"Kom_Natural_gas",7432,"Actual"
2011,"Kom_Biofuels_and_waste",8406,"Actual"
